1993.5 NaN
1993.917 NaN
1994.5 NaN
1994.917 NaN
1995.5 NaN
1995.917 NaN
1996.5 NaN
1996.917 NaN
1997.5 NaN
1997.917 NaN
1998.5 NaN
1998.917 NaN
1999.5 NaN
1999.917 NaN
2000.5 NaN
2000.917 NaN
2001.5 NaN
2001.917 NaN
2002.5 3200
2002.917 3200
2003.5 3200
2003.917 3200
2004.5 3200
2004.917 NaN
2005.5 716
2005.917 1433
2006.5 1433
2006.917 1433
2007.5 1433
2007.917 2329
2008.5 2345
2008.917 2483
2009.5 2483
2009.917 6950
2010.5 6950
2010.917 4040
2011.5 9899
2011.917 12660
2012.5 7890
2012.917 8209
2013.5 17808
2013.917 17808
2014.5 17808
2014.917 17808
2015.5 17808
2015.917 17808
2016.5 15371
2016.917 15371
2017.5 15371
2017.917 15371
2018.5 8806
2018.917 9783
2019.5 10096
2019.917 10096
2020.5 28335
2020.917 29899
2021.5 29899
2021.917 29899
2022.5 21100
2022.917 21100
