1993.5 131.00
1993.917 235.79
1994.5 184.00
1994.917 235.79
1995.5 235.79
1995.917 235.79
1996.5 307.20
1996.917 614.40
1997.5 1453.00
1997.917 1830.40
1998.5 1830.40
1998.917 1830.40
1999.5 3154.00
1999.917 3207.00
2000.5 3207.00
2000.917 12288.00
2001.5 12288.00
2001.917 12288.00
2002.5 40960.00
2002.917 40960.00
2003.5 40960.00
2003.917 40960.00
2004.5 40960.00
2004.917 91750.00
2005.5 183000.50
2005.917 367000.00
2006.5 367000.00
2006.917 367000.00
2007.5 367000.00
2007.917 596000.38
2008.5 1375000.78
2008.917 1456000.70
2009.5 1456000.70
2009.917 2331000.00
2010.5 2331000.00
2010.917 4701000.00
2011.5 8773000.63
2011.917 11280000.38
2012.5 20132000.66
2012.917 27112000.55
2013.5 54902000.40
2013.917 54902000.40
2014.5 54902000.40
2014.917 54902000.40
2015.5 54902000.40
2015.917 54902000.40
2016.5 125435000.90
2016.917 125435000.90
2017.5 125435000.90
2017.917 125435000.90
2018.5 187659000.27
2018.917 200794000.88
2019.5 200000000.79
2019.917 200000000.79
2020.5 513000000.85
2020.917 537000000.21
2021.5 537000000.21
2021.917 537000000.21
2022.5 1685000000.65
2022.917 1685000000.65
