1993.5 59.70
1993.917 124.00
1994.5 143.40
1994.917 170.00
1995.5 170.00
1995.917 170.00
1996.5 220.40
1996.917 368.20
1997.5 1068.00
1997.917 1338.00
1998.5 1338.00
1998.917 1338.00
1999.5 2121.00
1999.917 2379.00
2000.5 2379.00
2000.917 4938.00
2001.5 7226.00
2001.917 7226.00
2002.5 35860.00
2002.917 35860.00
2003.5 35860.00
2003.917 35860.00
2004.5 35860.00
2004.917 70720.00
2005.5 136000.80
2005.917 280000.60
2006.5 280000.60
2006.917 280000.60
2007.5 280000.60
2007.917 478000.20
2008.5 1026000.00
2008.917 1105000.00
2009.5 1105000.00
2009.917 1759000.00
2010.5 1759000.00
2010.917 2566000.00
2011.5 8162000.00
2011.917 10510000.00
2012.5 16324000.75
2012.917 17590000.00
2013.5 33862000.70
2013.917 33862000.70
2014.5 33862000.70
2014.917 33862000.70
2015.5 33862000.70
2015.917 33862000.70
2016.5 93014000.59
2016.917 93014000.59
2017.5 93014000.59
2017.917 93014000.59
2018.5 122300000.00
2018.917 143500000.00
2019.5 148000000.60
2019.917 148000000.60
2020.5 415000000.53
2020.917 442000000.01
2021.5 442000000.01
2021.917 442000000.01
2022.5 1102000000.00
2022.917 1102000000.00
