1993.5 1024
1993.917 140
1994.5 3680
1994.917 140
1995.5 140
1995.917 140
1996.5 1024
1996.917 2048
1997.5 7264
1997.917 9152
1998.5 9152
1998.917 9152
1999.5 9472
1999.917 9632
2000.5 9632
2000.917 8192
2001.5 8192
2001.917 8192
2002.5 5120
2002.917 5120
2003.5 5120
2003.917 5120
2004.5 5120
2004.917 32768
2005.5 65536
2005.917 131072
2006.5 131072
2006.917 131072
2007.5 131072
2007.917 212992
2008.5 122400
2008.917 129600
2009.5 129600
2009.917 224162
2010.5 224162
2010.917 186368
2011.5 548352
2011.917 705024
2012.5 1572864
2012.917 560640
2013.5 3120000
2013.917 3120000
2014.5 3120000
2014.917 3120000
2015.5 3120000
2015.917 3120000
2016.5 10649600
2016.917 10649600
2017.5 10649600
2017.917 10649600
2018.5 2282544
2018.917 2397824
2019.5 2414592
2019.917 2414592
2020.5 7299072
2020.917 7630848
2021.5 7630848
2021.917 7630848
2022.5 8730112
2022.917 8730112
